"id","term_id","translation"
203,203,"Guestroom, A Living Room In A Mosque"
204,204,"Parts, Components, Ingredients, Constituents"
205,205,"Bodies, Substances, Matters"
206,206,"The Moment Of Death"
207,207,"Seized By Fate, In The Jaws Of Death"
208,208,"Session, A Sitting"
209,209,"Session, A Sitting, Pertaining To A Session"
210,210,"Back Of The Head"
211,211,"Congregation, A Religious Congress"
212,212,"Summary, Synopsis, Brevity"
213,213,"Brief, Synoptic"
214,214,"Goods, Wares, Articles, Commodities"
215,215,"Stranger, A Foreigner"
216,216,"Strange, Foreign, Unknown (Person)"
217,217,"A Female Who Has Made A Pilgrimage To Mecca"
218,218,"Joining, Joining Closely"
219,219,"Join Closely"
220,220,"Wage, Payment, Fee"
221,221,"Mercenary, A Hired Labourer, Hired, Freelance"
222,222,"Pickles, Screw Driver"
223,223,"High, Liftedlofty, Raised"
224,224,"Height, Altitude, Elevation, Loftiness"
225,225,"Raise, To Elevate, To Render High Or Lofty"
226,226,"Become Elevated, To Become Or Grow High Or Lofty"
227,227,"Pole, A Two Forked Wooden Pole Used As A Support"
228,228,"Pour, To Throw, To Drop"
229,229,"Forehead, The Brow"
230,230,"Abortion, Foetos, Embryo, A Child Brought Forth Before Its Time"
231,231,"Fetes, Born Prematurely, An Avortive Child"
232,232,"Cow, A Kind Of Small Short Cow"
233,233,"Hadiths , Traditions, (Particularly) The Sayings Muhammad"
234,234,"Hadith, Sayings Of Mohammad The Prophet"
235,235,"Surrounding, Circumambience, Seige, Comprehension, Conversance"
236,236,"Friends, Chums, Intimates"
237,237,"Protest, Objection, Argumentation"
238,238,"Avoidance, Shunning, Abstention, Caution, Precaution"
239,239,"Burning, Combustion"
240,240,"Respect, Reverence, Esteem, Honor"
241,241,"Gathering, Meeting, Assembly"
242,242,"Speculation, Hoarding, Forestalling"
243,243,"Speculative"
244,244,"Friction, Rubbing"
245,245,"Nocturnal Emission"
246,246,"Probability, Possibility, Contigency"
247,247,"Probable, Contingent, Presumptive, Doubtful"
248,248,"Effort, Charge"
249,249,"Need, Want, Necessity, Indigence"
250,250,"Caution, Circumspection, Carefulness"
251,251,"Reserve, Cautionary"
252,252,"Cautioncircumspection, Foresight, Care"
253,253,"Unity, An Unit, One"
254,254,"Ehram, The Cloak Or Mantle Alluded Toputting On A Pilgrim'S Habit At A Certain Distance From Makka"
255,255,"Parties"
256,256,"Feeling, Sensation"
257,257,"Feelings, Sensations"
258,258,"Emotional"
259,259,"Feel"
260,260,"Favour, Benefaction"
261,261,"Statistics, Numeration"
262,262,"Summoning, Calling Up"
263,263,"Recall, To Summon"
264,264,"Orders, Commandments, Precpts"
265,265,"Ahamdzi, Name Of An Afghan Tribe"
266,266,"Stupid, Foolish"
267,267,"Situation, State, Condition, News"
268,268,"Squinter, One Who Squints Or Sees Objects Double"
269,269,"Revival, Vivification"
270,270,"Occasionally, Once In A While, Sometimes, If"
271,271,"Femur, Thigh Bone"
272,272,"Atsakzey, An Afghan Tribe"
273,273,"Dried Grapes, Raisins"
274,274,"Tent-Pole"
275,275,"Level, To Long Stitch, To Baste, To Tune, To Harmonise, To Attune, To Arrange, To Make Even, To Level, To Make Level, To Trim, To Make Even, To Reduce Or Remove Inequalities In Anything, To Reduce To An Even Surface, To Arrange, To Place In Order"
276,276,"Arrange, Beautify, To Make Smooth, To Harmonize"
277,277,"Endeavour, Effort, Inclination, Wish"
278,278,"Ouch, Ah"
279,279,"Coughing, Vigour, Strength"
280,280,"Skirmish, Clash, Quarrel"
281,281,"Newspaper"
282,282,"Akhtar, One Of The Two Annually Held Muslim Religious Festivals That Longs Three Days After The Month Of Ramazan, Eid"
283,283,"Invention"
284,284,"Sacrificial"
285,285,"Abbreviation, Abridgment, Brevity, Conciseness, Synopsis"
286,286,"Abridge, To Contract, To Abbreviate"
287,287,"Appropriation, Allocation"
288,288,"Specialized, Allocated, Appropriated"
289,289,"Concealment, Masking, Hiding"
290,290,"Embezzlement, Misappropriation"
291,291,"Difference, Discrepancy, Disagreement, Discord, Diversity"
292,292,"Disorder, Confusion, Indisposition"
293,293,"Suffocation, Suppression, Smothering, Stifling"
294,294,"Engaged, Busy, Occupied, Involved, Renderized, Castrated"
295,295,"Will, Option, Choosing, Wish, Authority"
296,296,"Optional, Voluntary, Arbitrary"
297,297,"Choice, Approbation, Power, Free Will, Option"
298,298,"Choose, To Adopt, To Approve Of"
299,299,"Lastly, Finally"
300,300,"Expulsion, Ejection, Banishment"
301,301,"Expel, To Evacuate, To Draw Forth"
302,302,"Exit"
303,303,"Knead"
304,304,"Brother In Law"
305,305,"Warning, Notice, Reprimand, Admonishment"
306,306,"Conversation, Friendly Talking, Mixingfriendship"
307,307,"Covering, Concealment, Hiding"
308,308,"Firebrand, A Spark Of Fire"
309,309,"Sincerity, Friendship, Affection"
310,310,"Sincere, Devoted"
311,311,"Morality, Morals"
312,312,"Moral, Ethical, Righteous, Virtuous, Cultured"
313,313,"Disturbance, Disorder, Perturbation, Commotion"
314,314,"Here And There, Around, This Way And That Way"
315,315,"Akhond, A Muslim Priest"
316,316,"Clay, Clay For White Washing Rooms And Walls, Mixture Of Clay, Straw And Water For Plastering Roofs And Walls"
317,317,"Plastering, Bedaubing, Plaster, The Plastering Of A Wall"
318,318,"Take"
319,319,"Plaster, To Besmear, To Overlay With Plaster, To Mend"
320,320,"Comprehension, Genius, Understandingcapacity"
321,321,"Fatty, Very Fat, Tired, Much Swollen"
322,322,"Performance, Payment, Discharge, Execution, Blandishment, Coquerty"
323,323,"Courtesies"
324,324,"Article, Tool, Instrument"
325,325,"Office, Bureau, Administration, Management, Direction"
326,326,"Pay, To Fulfil, To Perform, To Discharge, To Utter, To Enunciate"
327,327,"Politeness, Courtesy, Manners, Literature"
328,328,"Literary, Cultured"
329,329,"Literature"
330,330,"Urine, Involuntary Discharge Of Urine, Munificence, Liberality, Flowing Of Milk"
331,331,"Perception, Apprehension"
332,332,"Finder"
333,333,"Appearance, Birth, Coming Into Existence"
334,334,"A Holy Person, Mentor"
335,335,"Proper, Fitting, Becoming, Competent, Corresponding, Suitable"
336,336,"Fitness, Suitableness, Reasonableness, Justness, Worth, Desire"
337,337,"Purchase, To Buy"
338,338,"Following, Follower, Pursuer"
339,339,"Buy, Purchase"
340,340,"Buying"
341,341,"Following, Imitation, Prosecution, Pursuit, Investigation"
342,342,"Devil, Person Possessed Of A Devil Or Evil Spirit"
343,343,"Fat, Stout, Gross, Obese, Thick, Large"
344,344,"Leaven, Sweatmeat"
345,345,"Slipper, Shoe"
346,346,"Darn, Ti Fine-Draw"
347,347,"Ornament, Nose-Ring"
348,348,"Recognition, Knowledge, Cognizance, Familiarity, Understanding, Comprehension"
349,349,"Distinguish, Recognize By Recollection, To Know, To Be Famoliar With, To Be No Stranger To"
350,350,"Recognition, Knowledge, Cognizance, Familiarity, Understanding, Comprehension"
351,351,"Leprosy, Leper"
352,352,"Coin, Copper Coin"
353,353,"Befalling, In Front, Advanced, Before"
354,354,"Peshawer, Name Of A City"
355,355,"Event, Happening, Advanced, Before, In Front"
356,356,"Peshawar, City Of Peshawar"
357,357,"Native Of Peshawar"
358,358,"To Cause To Happen, Cause To Meet, Cause To Encounter, To Bring Into Notice, To Import, To Introduce"
359,359,"Happening, Accurring"
360,360,"To Happen, To Accur, To Have Interview With"
361,361,"Prudent, Provident, Wise"
362,362,"Prudence, Foresight"
363,363,"Anticipating, Being Beforehand, Surpassing"
364,364,"Anticipation, Excelling, Surpassing, Aggression"
365,365,"Early"
366,366,"Precursor, Leader"
367,367,"Dagger"
368,368,"Before, Prior, Sooner, Formerly, Heretofore, Ago"
369,369,"Before, Prior, Sooner, Formerly, Heretofore, Ago"
370,370,"Person Who Lives On Credit, Person Who Lives On Advance Of Wages"
371,371,"Advance"
372,372,"Trade, Custom, Habit, Pactice, Profession"
373,373,"Leader, Precursor"
374,374,"Artificer, Workman, Artizan"
375,375,"Artificer, Workman, Artizan"
376,376,"Message, Injunction"
377,377,"Prophet"
378,378,"Virgin, A Maid, Amaiden, A Damsel"
379,379,"Prophet, Messanger"
380,380,"Sarcasm, Taunt, Railing, Reproach, Opprobrius Language, Abuse"
381,381,"Anklets, Fetter, Ornament"
382,382,"Rope"
383,383,"Elephant"
384,384,"Fraud, Deceit, Artifice, Subterfuge, Imposture"
385,385,"Cocoon"
386,386,"Promise, Agreement, Confirmation, Asseveration, An Oath"
387,387,"Goblet, Certain Dry Measure"
388,388,"Measure, Limit"
389,389,"Five"
390,390,"Chuck"
391,391,"Bowl, Wooden Bowl, Piece, Patch"
392,392,"String, File, To Put On Aline, To Spit, To Pierce"
393,393,"Junction, Conexion, Friendship, Touching, Joining, A Join"
394,394,"Junction, Proximity, Contiguity, Closeness, Adhesion, Attachment"
395,395,"Joined, Contiguous, Attached"
396,396,"Junction, Connexion, Friendship, Attachment, Closeness, Junctions"
397,397,"Joined, Fasten, Tie, Bind, Connect, Attach"
398,398,"Joining"
399,399,"Thread A Needle"
400,400,"The Fifth Latter Of The Pashto Alphabet"
401,401,"You"
402,402,"Fold, Plait, Ply, Sheet, Noise, Sound"
403,403,"Plague"
404,404,"Plague"
405,405,"Police Station, Picquet, Guard"
406,406,"Compensate, To Make Amends, To Pay A Fine"
407,407,"Heat, Light, Splendour, Power, Strength, Endurance"
408,408,"Bright, Luminous, Twisted"
409,409,"Lattice, Skylight"
410,410,"Resplendent, Splendid, Glittering, Burning, Refulgent"
411,411,"Summer, Hot Season"
412,412,"Subject, Citizen, Follower, Adherent, Subordinate, Dependant"
413,413,"Dependant, Follower, Subject"
414,414,"Dependant, Follower, Subject"
415,415,"Citizenship, Subjection, Obedience, Subordination"
416,416,"Tableau, Panting, A Striking Scene"
417,417,"Shining, Giver Of Light"
418,418,"Coffin"
419,419,"Coffin, Bier, Ark Of The Covenant"
420,420,"Powers, Strengths, Endurances, Rages, Furies, Burnings"
421,421,"Tartar"
422,422,"Hell"
423,423,"Girth, Durrah"
424,424,"Sorrow, Sadness, Grief"
425,425,"Effect, Influence"
426,426,"Impression, Operation, Penetration"
427,427,"Crown, Crest"
428,428,"King, Prince"
429,429,"King, Prince"
430,430,"Merchant, Trader"
431,431,"Tajik"
432,432,"Tajikistan"
433,433,"Sounds, Musical Sound"
434,434,"Coin, Copper Coin, Money, Wealth"
435,435,"Jingling"
436,436,"Sound, To Make To Ring, To Make A Sound, To Jingle"
437,437,"Sound, To Grate, To Jar, To Creak, To Ring"
438,438,"Tube"
439,439,"Leap, Jump, Spring, Hop, Bound, Caper"
440,440,"Jumping Game, Crowd"
441,441,"Who, Whom"
442,442,"Quick, Fast, Swift, Rapid, Prompt"
443,443,"Mine, Subterranean Passage"
444,444,"Dry, Not Wet, Arid, Dried Up, Parched, Undamped"
445,445,"Without, Reason, Unduly"
446,446,"Impudent, Rude"
447,447,"Weanling, Child Stinted In Milk, Child / Animal Newly Weaned Before Its Time"
448,448,"Moist, Damp"
449,449,"Tall High Lofty"
450,450,"Dryness, Barrenness"
451,451,"Dryness, Dridity"
452,452,"Familiar, Acquainted"
453,453,"Stingy"
454,454,"Drought"
455,455,"Burning Fever"
456,456,"Burning, Fever"
457,457,"A Baby Weaned Due To The Birth Of A Mew Sifting Or Because Its Mother'S Milk Has Dried Up"
458,458,"Sterile, Barren"
459,459,"Wind-Pipe"
460,460,"Dryness, Barrenness"
461,461,"Dry Land"
462,462,"Dryness, After Raining Has Ceased"
463,463,"Tinder"
464,464,"Dry"
465,465,"Forehead, Brow"
466,466,"Dryness"
467,467,"Blotter, Towel"
468,468,"Become Dry, Dry Up, Become Parched / Arid"
469,469,"Monotheism"
470,470,"Unity, Oneness, Singularity"
471,471,"Wild Beast"
472,472,"Barbarism, Barbarity, Savagery, Wildness"
473,473,"Horrible, Frightful"
474,474,"Dreadful, Frightful, Horrifying"
475,475,"Female Wild Beast"
476,476,"Wild, Savage, Ferocious"
477,477,"Savage, Wild"
478,478,"Wild, Savage, Barbaric, Fierce"
479,479,"Revelation, Inspiration, Voice"
480,480,"A Small, Load Carried On The Back"
481,481,"Black Raisin"
482,482,"Raisin, Kind Of Riasin With A Stone, Raisin / Currant"
483,483,"Pole Mast Of Tent"
484,484,"Black Raisin"
485,485,"Ouch Ah Alas"
486,486,"سپكوالى ټيټوالى ."
487,487,"شرمول ، ناارامه كول ، اريانول"
488,488,"بى شرمه"
489,489,"شرمندګي"
490,490,"(ج) ( دقانونى وارث څخه پخوا ) يوشى نيول، غصبول.  ( شمير ): (اندازه )، ټيټول ( درجه، رتبه )"
491,491,"غصب، نيونه.  لږ ونه، ټيټونه،(ح) دميراث داندازى ) لږول."
492,492,"له محورڅخه ليرى ."
493,493,"ساتونکی ، امر (مو)"
494,494,"لنګر (خانقاه)، دير، صومعه"
495,495,"دصومعی ، مشردخانقا"
496,496,"لنډول، وړوكى كول ، تلخيص، مخفف كول ."
497,497,"لنډيز، اختصار، مخفف"
498,498,"پريښودل (په رسمي توګه): خلع کول(دځان يابل) لاس اخيستل، لاس لنډول"
499,499,"ګوښه کېدنه ، لاس لنډونه ، لاس اخيستنه"
500,500,"نس ، خيټه ، ګيډه"
501,501,"تښتونه، اختطاف ( جر) دزخم يا كسر څخه وروسته دجسم دځينو برخو بيلول: دغړو ( يو له بل څخه ) دجلا كېدو فعاليت."
502,502,"ابجد ته منسوب : ابجد ويونکي : دالفباپه ترتيب : ( امر ) مبتدي زده کونکی : دالفبا ښوونکی ."
503,503,"په بستره کې"
504,504,"بې لارې کيدل : سمه لار پريښودل"
505,505,"(له سمې طبيعي معمولي لارې څخه) كږېدل: ذهني انحراف."
506,506,"پارول ( بدوکاروته ): مرسته کول ( په بدوکارو کښې ): لمسول ."
507,507,"ټال ، ځنډ ، ډيل"
508,508,"ځنډيدلی ، ټال شوی ."
509,509,"کرکه کول، بدوړل ، وېرېدل ( له کوم شي څخه )."
510,510,"کرکه ، ډډه کول ، وېره."
511,511,"كركجن"
512,512,"اوسېدل، پاتې كېدل ( پرځاى ): زغمل: مخامخ كېدل"
513,513,"ولاړ ( پرخپلې خبرې عمل )."
514,514,"وړوالى: توان، مهارت،قابليت."
515,515,"ټيټ، خوار، رټلى،سپك."
516,516,"په لوړه پرېښودل م، سوګند): دنه منلو لوړه كول ( د)."
517,517,"ايسته كول: پرې كول: له منځه وړل."
518,518,"(ګر) جرى (حالت) لكه كاله ته، له كاله څخه، په كاله كښې."
519,519,"ځلاند لګېدلى ( په اور ): مشتمل."
520,520,"وړ، تكړه،قابل."
521,521,"قوي، روغ ( جسماً)."
522,522,"دغوړېدلو په حال كې: پرغوړېدو (ګل )."
523,523,"دخجالت په حال كې، سور( له خجالت څخه ): شرمنده."
524,524,"اودس، غسل، دخاصو مراسمو دپاره دځان پرولل."
525,525,"انكار كول، پرېښودل."
526,526,"انكار، ځان هيرونه."
527,527,"منكر: ځان هيروونكى."
528,528,"غير نور مال، بې قاعده،غير طبيعي، غير عادي."
529,529,"بې قاعده ګي."
530,530,"په غير طبيعي توګه"
531,531,"په ( بېړۍ، اورګاډى، الوتكه ) كې يا باندې."
532,532,"له منځه وړل، لغوكول."
533,533,"دهر شي په تېره بيا دمرييتوب دلغو كولو پرخوا."
534,534,"كركجن."
535,535,"كركه كول: ډېربدوړل."
536,536,"خوشي کول ، پريښودل ، له ټولو ادعاوڅخه تېريدل"
537,537,"پريښودنه ، ترک"
538,538,"( د) له خولې څخه ليرى."
539,539,"پخوانى اوسېدونكى ( ديوې سيمې )، اصلي، لومړنى، بومي."
540,540,"زيانول: نقصانول (اولاد )."
541,541,"داولادزيانولو عامل."
542,542,"(طب) بې وخته زيږېدنه، دحامله توب په لومړيو درومياشتو كې"
543,543,"پخواله وخته زېږېدلى: ناكام: نيمګړى: له ودې لوېدلى: شنډ."
544,544,"پرپيمانه، زښت، ډېر، ( پيداكېدل )."
545,545,"پرېمانه، ډېر، كوټه."
546,546,"ګردچاپير، شاوخوا، ( دزمان مكان،حجم له مخې ): برخه ( كې ): باره (كې)،لږو ډېر،تقريباً."
547,547,"پورته ( له ): پاس ( تر): لوړ ( له ) ( په درجه، مقدار، شمېر او ارزښت كې )."
548,548,"پاس يادشوى، پروتنى."
549,549,"نوموړى ."
550,550,"څرګند، په ډانګ پېيلى: بې پلمې."
551,551,"موښل، سولول، ګرول، توږل، شو كاريكول."
552,552,"سولونه، ګرونه، توږنه."
553,553,"هغه شى چې دموښلو سولولو،ګرولو او توږلو دپاره استعمالېږي لكه دتېغ دتيره كولو څرخ."
554,554,"په كتار_ په يوه ليكه ( چه مخونه يې يوې خواته وي ): څنګ پرڅنګ."
555,555,"لنډول، لږول، نيمګړى كول."
556,556,"لنډيز، لنډون، لږوالى، لږونه."
557,557,"په پراخه سيمه (كې): به، په سارا: له كوره دباندې: باندنى هيواد (كې، ته)."
558,558,"لغو كول: له منځه وړل: منسوخ كول."
559,559,"لغو كونه: له منځه وړنه باطلونه."
560,560,"باطلوونكى: له منځه وړونكى."
561,561,"ناڅاپه، ناببره، يوه ناڅاپه، مخ په ځوړ، ناڅاپې ( بدلون )."
562,562,"ناڅاپي ( پرې كېدنه، بېلېدنه )."
563,563,"ناڅاپه، ناببره، په ستغه لهجه."
564,564,"دانه، ښنځه، ښنځكۍ، دوجود په كومه يوه برخه كې دزوو ( نو) ټولېدنه."
565,565,"تښتېدل اوپټېدل ( په تيره بياله قانون څخه )."
566,566,"غيرحاضرى، وركه،نشتوالى."
567,567,"غير حاضر، ورك، نشت."
568,568,"ورك، بې پتې، غايب."
569,569,"بې پامه، هير جن، چورتي."
570,570,"بشپړه، پوره، بې حده، مطلق: يقيني او مثبت، بوب ( خالص ) اّّزاد ( دنورو شيانو له قيد او ارتباط څخه ): قايم بالذات."
571,571,"مطلق صفر يعنې ( ٢٧٣-) درجې سانتي ګريد."
572,572,"بشپړه- په يقيني او قطعي صورت، په مطلق ډول، بېخي."
573,573,"هغه تيورى چې حاكم دمطلق واك څښتن بولى."
574,574,"دټولواكۍ ( مطلقيت ) پرخوا."
575,575,"بخښل ( دچاګناه، چاته پور): خلاصول ( له تور څخه: معافول."
576,576,"زغمل ( لكه سپنج چي اوبه زغمي: جذبول: حل كول ( په ځاى كې ) نېول ( وخت ): اړول ( پام )."
577,577,"زغملى: جذب شوى: نيولى ( وخت ): اوښتى ( پام )."
578,578,"جذبوونكى ( درطوبت اوبو، رڼا…"
579,579,"په زړه پورې."
580,580,"زغمېدنه: حل كېدنه: توجه اوښتنه."
581,581,"ډډه كول ( له ): لاس اخيستل ( له )."
582,582,"لاس اخيستونكى ( په تيره له شرابو څخه )"
583,583,"اعتدال ساتونكى ( په خوراك او څښاك كې )."
584,584,"په اعتدال: په امساك."
585,585,"اعتدال اوسوګتى ( په خوراك او څښاك كې )."
586,586,"ډډه كول: دممتنعې راى وركول."
587,587,"لاس اخيستنه: ډډه كول."
588,588,"ځان ساتونكى ( له كوم خوند، هوس څخه ): پرهېزګار."
589,589,"دپرهېز په توګه"
590,590,"مجرد، ذهني ( چه په طبيعت كي موجود نه وي لكه هندسې شكلونه ).  خلاصه، لنډيز  لېرې كول: بيلول: تجريدول: خلاصه كول ( فل ) تجرېدول ( لكه ديوه شي دخصوصي مواردو له كتنې څخه وروسته دهغه په باب ديوه عام مفهوم وروسته دهغه په باب ديوه عام مفهوم قايمول )."
591,591,"بېل شوى، ګوښى شوى."
592,592,"بېلونه: تجريد، بېلېدنه."
593,593,"پېچلى، نغښتى (كلام): پېچلى ( چې پوهېدل يې ګران وي )."
594,594,"په پېچلي ( توګه )."
595,595,"پېچلتوب ( دكلام )"
596,596,"چټي، پوچ، بې معنى، مبتذل."
