"id","term","term_lang_id","origin_id","user_id","lang_part_id","nativity_scale"
315,اخوند,4,,2,,5
316,اخېړ,4,,2,,1
317,اخيړ,4,,2,,2
318,اخيستل,4,,2,,3
319,اخیړل,4,,2,,4
320,اد راک,4,,2,,5
321,اد و بد و,4,,2,,1
322,ادا,4,,2,,2
323,اداب,4,,1,,3
324,ادات,4,,1,,4
325,اداره,4,,1,,5
326,اداکول,4,,1,,1
327,ادب,4,,1,,2
328,ادبي,4,,1,,3
329,ادبيات,4,,1,,4
330,ادرار,4,,1,,5
331,ادراک,4,,1,,1
332,پيدا کوونکی,4,,1,,2
333,پيدايښت,4,,1,,3
334,پير,4,,1,,4
335,پیرزو,4,,1,,5
336,پیرزوینه ,4,,1,,1
337,پیرل,4,,1,,2
338,پیرو,4,,1,,1
339,پیرودل,4,,1,,2
340,پیرودنه,4,,1,,3
341,پیروي,4,,1,,4
342,پیریاني,4,,1,,5
343,پیړ,4,,1,,1
344,پیړه,4,,1,,2
345,پیزار,4,,1,,3
346,پیزل,4,,1,,4
347,پیزوان,4,,1,,5
348,پیژند نه,4,,1,,1
349,پیژندل ,4,,1,,2
350,پیژندنه,4,,1,,3
351,پیس ,4,,1,,4
352,پیسه,4,,1,,5
353,پیښ,4,,1,,1
354,پیښاور,4,,1,,2
355,پیښه ,4,,1,,3
356,پیښور,4,,1,,4
357,پیښوری,4,,1,,5
358,پیښول,4,,1,,1
359,پیښید نه ,4,,1,,2
360,پیښیدل,4,,1,,3
361,پیش بین,4,,1,,4
362,پیش بیني,4,,1,,5
363,پیش دست ,4,,1,,1
364,پیش دستي,4,,1,,2
365,پیش رس,4,,1,,3
366,پیش رو,4,,1,,4
367,پیش قبضه,4,,1,,5
368,پیشتر,4,,1,,1
369,پیشتره .,4,,1,,2
370,پیشخور,4,,1,,3
371,پیشکي,4,,1,,4
372,پیشه,4,,1,,5
373,پیشوا ,4,,1,,1
374,پیشور,4,,1,,2
375,پیشوره ,4,,1,,3
376,پیغام,4,,1,,4
377,پیغامبر,4,,1,,5
378,پیغله ,4,,1,,1
379,پیغمبر ,4,,1,,2
380,پیغور ,4,,1,,3
381,پیکړه,4,,1,,4
382,پیکل,4,,1,,5
383,پیل ,4,,1,,1
384,پیلات,4,,1,,2
385,پیله,4,,1,,3
386,پیمان,4,,1,,4
387,پیمانه,4,,1,,5
388,پیمایش,4,,1,,1
389,پینځه,4,,1,,2
390,پینل,4,,1,,3
391,پینه,4,,1,,4
392,پیودل,4,,1,,5
393,پیوست ,4,,1,,1
394,پیوستګي,4,,1,,2
395,پیوسته ,4,,1,,3
396,پیوستون ,4,,1,,4
397,پیوستیدل,4,,1,,5
398,پیوستیدنه ,4,,1,,3
399,پییل ,4,,1,,4
400,ت,4,,1,,5
401,تا,4,,1,,1
402,تا ,4,,1,,2
403,تا عو ن,4,,1,,3
404,تا عو ني,4,,1,,4
405,تا ڼه,4,,1,,5
406,تا و انو ل,4,,1,,1
407,تاب,4,,1,,2
408,تاب دار,4,,1,,3
409,تاب دان,4,,1,,4
410,تابان,4,,1,,5
411,تابستان ,4,,1,,1
412,تابع,4,,1,,2
413,تابع ,4,,1,,3
414,تابعه,4,,1,,4
415,تابعيت,4,,2,,5
416,تابلو,4,,2,,1
417,تابنده,4,,2,,2
418,تابوت,4,,2,,3
419,تابوت ,4,,2,,4
420,تابونه,4,,2,,5
421,تاتار,4,,2,,1
422,تاترين,4,,2,,2
423,تاتنګ,4,,2,,3
424,تاثر,4,,2,,4
425,تاثير,4,,2,,5
426,تاثیر,4,,2,,1
427,تاج,4,,2,,2
428,تاج دار,4,,2,,3
429,تاج داره ,4,,2,,4
430,تاجر,4,,2,,5
431,تاجک,4,,2,,1
432,تاجکستان,4,,2,,2
433,ټنګ ټونګهار,4,,2,,3
434,ټنګه,4,,2,,4
435,ټنګهار,4,,2,,5
436,ټنګول,4,,2,,1
437,ټنګیدل,4,,2,,2
438,ټوپ,4,,2,,3
439,ټوپ ,4,,2,,4
440,ټوپ ټپانی,4,,2,,5
441,چا,4,,2,,1
442,چابک,4,,2,,2
443,نغم ,4,,2,,3
444,وچ ,4,,2,,4
445,وچ په وچه,4,,2,,5
446,وچ سترګی,4,,2,,1
447,وچ موري,4,,2,,2
448,وچ ميږن,4,,2,,3
449,وچت,4,,2,,4
450,وچتوب,4,,2,,5
451,وچتيا,4,,2,,1
452,وچړ,4,,2,,2
453,وچغاړی,4,,2,,3
454,وچکالي,4,,2,,4
455,وچکۍ,4,,2,,5
456,وچکي,4,,2,,1
457,وچموری,4,,2,,2
458,وچنه,4,,2,,3
459,وچه غاړه,4,,2,,4
460,وچوالی,4,,2,,5
461,وچوبه,4,,2,,1
462,وچوبی,4,,2,,2
463,وچوکي,4,,2,,3
464,وچول,4,,2,,4
465,وچولی,4,,2,,5
466,وچونه ,4,,2,,1
467,وچوونی,4,,2,,2
468,وچيدل ,4,,2,,3
469,وحدانيت,4,,2,,4
470,وحدت,4,,2,,5
471,وحش ,4,,2,,1
472,وحشت,4,,2,,2
473,وحشت ناک ,4,,2,,3
474,وحشتناک,4,,2,,4
475,وحشه ,4,,2,,5
476,وحشي ,4,,2,,1
477,وحشيانه,4,,2,,2
478,وحشی,4,,2,,3
479,وحی,4,,2,,4
480,وځوکی,4,,2,,5
481,وڅکه,4,,2,,1
482,وڅکه ,4,,2,,2
483,وڅکيز,4,,2,,3
484,وڅکی,4,,2,,4
485,وخ,4,,2,,5
486,Abasement,3,,1,,1
487,Abash,3,,1,,2
488,Abash less,3,,1,,3
489,Abashment,3,,1,,4
490,Abate,3,,1,,5
491,Abatement,3,,1,,1
492,Abaxial,3,,1,,2
493,Abbess,3,,1,,3
494,Abbey,3,,1,,4
495,Abbot,3,,1,,5
496,Abbreviate,3,,1,,1
497,Abbreviation,3,,1,,2
498,Abdicate,3,,1,,3
499,Abdication,3,,1,,4
500,Abdomen,3,,1,,5
501,Abduction,3,,1,,1
502,Abecedarian,3,,1,,2
503,Abed,3,,1,,3
504,Aberrate,3,,1,,4
505,Aberration,3,,1,,5
506,Abet,3,,1,,1
507,Abeyance,3,,1,,2
508,Abeyant,3,,1,,3
509,Abhor,3,,1,,4
510,Abhorrence,3,,1,,5
511,Abhorrent,3,,1,,1
512,Abide,3,,1,,2
513,Abider,3,,1,,3
514,Ability,3,,1,,4
515,Abject,3,,1,,5
516,Abjure,3,,1,,1
517,Ablation,3,,1,,2
518,Ablative,3,,1,,3
519,Ablaze,3,,1,,4
520,Able,3,,1,,5
521,Able-bodied,3,,1,,1
522,Abloom,3,,1,,2
523,Ablush,3,,1,,3
524,Ablution,3,,1,,4
525,Abnegate,3,,1,,5
526,Abnegation,3,,1,,1
527,Abnegator,3,,1,,2
528,Abnormal,3,,1,,3
529,Abnormality,3,,1,,4
530,Abnormally,3,,1,,5
531,Aboard,3,,1,,1
532,Abolish,3,,1,,2
533,Abolitionist,3,,1,,3
534,Abominable,3,,1,,4
535,Abominate,3,,1,,5
536,Abondon,3,,1,,1
537,Abondonment,3,,1,,2
538,Aboral,3,,1,,3
539,Aborigines,3,,1,,4
540,Abort,3,,1,,5
541,Abortifacient,3,,1,,1
542,Abortion,3,,1,,2
543,Abortive,3,,1,,3
544,Abound,3,,1,,4
545,Abounding,3,,1,,5
546,About,3,,1,,1
547,Above,3,,1,,2
548,Above mentioned,3,,1,,3
549,Above named,3,,1,,4
550,Aboveboard,3,,1,,5
551,Abrade,3,,1,,1
552,Abrasion,3,,1,,2
553,Abrasive,3,,1,,3
554,Abreast,3,,1,,4
555,Abridge,3,,1,,5
556,Abridgement,3,,1,,1
557,Abroad,3,,1,,2
558,Abrogate,3,,1,,3
559,Abrogation,3,,1,,4
560,Abrogator,3,,1,,5
561,Abrupt,3,,1,,1
562,Abruption,3,,1,,2
563,Abruptly,3,,1,,3
564,Abscess,3,,1,,4
565,Abscond,3,,1,,5
566,Absence,3,,1,,1
567,Absent,3,,1,,2
568,Absentee,3,,1,,3
569,Absentminded,3,,1,,4
570,Absolute,3,,1,,5
571,Absolute zero,3,,1,,1
572,Absolutely,3,,1,,2
573,Absolutism,3,,1,,3
574,Absolutist,3,,1,,4
575,Absolve,3,,1,,5
576,Absorb,3,,1,,1
577,Absorbed,3,,1,,2
578,Absorbent,3,,1,,1
579,Absorbing,3,,1,,2
580,Absorption,3,,1,,3
581,Abstain,3,,1,,4
582,Abstainer,3,,1,,5
583,Abstemious,3,,1,,1
584,Abstemiously,3,,1,,2
585,Abstemiousness,3,,1,,3
586,Abstention,3,,1,,4
587,Abstinence,3,,1,,5
588,Abstinent,3,,1,,1
589,Abstinently,3,,1,,2
590,Abstract,3,,1,,3
591,Abstracted,3,,1,,4
592,Abstraction,3,,1,,5
593,Abstruse,3,,1,,1
594,Abstrusely,3,,1,,2
595,Abstruseness,3,,1,,3
596,Absurd,3,,1,,4
597,Absurdity,3,,1,,5
598,Absurdly,3,,1,,1
599,Absurdness,3,,1,,2
600,Abundance,3,,1,,3
601,Abundancy,3,,1,,4
602,Abundant,3,,1,,5
603,Abundantly,3,,1,,1
604,Abuse,3,,1,,2
605,Abusive,3,,1,,3
606,Abusively,3,,1,,4
607,Abusiveness,3,,1,,5
608,Abut,3,,1,,1
609,Abutment,3,,1,,2
610,Abuttal,3,,1,,3
611,Abysm,3,,1,,4
612,Abysmal,3,,1,,5
613,Abyss,3,,1,,1
614,Abyssal,3,,1,,2
615,Acacia,3,,1,,3
616,Academic,3,,1,,4
617,Academist,3,,1,,5
618,Academy,3,,1,,1
619,Accede,3,,1,,2
620,Acceder,3,,1,,3
621,Accelerant,3,,1,,4
622,Accelerate,3,,1,,5
623,Acceleration,3,,1,,1
624,Accelerator,3,,1,,2
625,Accent,3,,1,,3
626,Accentual,3,,1,,4
627,Accentuate,3,,1,,5
628,Accept,3,,1,,1
629,Acceptability,3,,1,,2
630,Acceptable,3,,1,,3
631,Acceptably,3,,1,,4
632,Acceptation,3,,1,,5
633,Festivity,3,,1,,1
634,Festoon,3,,1,,2
635,Fetch,3,,1,,3
636,Fetching,3,,1,,4
637,Fete,3,,1,,5
638,Fetich,3,,1,,3
639,Fetichism,3,,1,,4
640,Fetid,3,,1,,5
641,Fetish,3,,1,,1
642,Fetishism,3,,1,,2
643,Fetlock,3,,1,,3
644,Fetter,3,,1,,4
645,Fettle,3,,1,,5
646,Fetus,3,,1,,1
647,Feud,3,,1,,2
648,Feudal,3,,1,,3
649,Feudal System,3,,1,,4
650,Feudalism,3,,1,,5
651,Fever,3,,1,,1
652,Feverish,3,,1,,2
653,Feverishly,3,,1,,3
654,Few,3,,1,,4
655,Fewness,3,,1,,5
656,Fez,3,,1,,1
657,Fiance,3,,1,,2
658,Fiancee,3,,1,,3
659,Fiasco,3,,1,,4
660,Fiat,3,,1,,5
661,Fib,3,,1,,1
662,Fibber,3,,1,,2
663,Fiber,3,,1,,3
664,Fibroid,3,,1,,4
665,Fibrous,3,,1,,5
666,Nursery,3,,1,,1
667,Nursling,3,,1,,2
668,Nurture,3,,1,,3
669,Nutcracker,3,,1,,4
670,Nuthatch,3,,1,,5
671,Nutmeg,3,,1,,1
672,Nutrient,3,,1,,2
673,Nutriment,3,,1,,3
674,Nutrition,3,,1,,4
675,Nutritional,3,,1,,5
676,Nutritious,3,,1,,1
677,Nutshell,3,,1,,2
678,Nutty,3,,1,,3
679,Nuzzle,3,,1,,4
680,Nylon,3,,1,,5
681,Nymph,3,,1,,1
682,O,3,,1,,2
683,O'Clock,3,,1,,3
684,O.K,3,,1,,4
685,Oaf,3,,1,,5
686,Oak,3,,1,,1
687,Oaken,3,,1,,2
688,Oakum,3,,1,,3
689,Oar,3,,1,,4
690,Oarlock,3,,1,,5
691,Oarsman,3,,1,,1
692,Oasis,3,,1,,2
693,Oat,3,,1,,3
694,Oaten,3,,1,,4
695,Oath,3,,1,,5
696,Oatmeal,3,,1,,1
697,Obduracy,3,,1,,2
698,Obdurate,3,,1,,3
699,Obedience,3,,1,,4
700,Obedient,3,,1,,5
701,Obediently,3,,1,,1
702,Obeisance,3,,1,,2
703,Obelisk,3,,1,,3
704,Obese,3,,1,,4
705,Obesity,3,,1,,5
706,Obey,3,,1,,1
707,Obituary,3,,1,,2
708,Object,3,,1,,3
709,Pacifist,3,,1,,4
710,Pacify,3,,1,,5
711,Pack,3,,1,,1
712,Package,3,,1,,2
713,Packer,3,,1,,3
714,Packet,3,,1,,4
715,Packsaddle,3,,1,,5
716,Packthread,3,,1,,1
717,Pact,3,,1,,2
718,Pad,3,,1,,3
719,Padding,3,,1,,4
720,Paddle,3,,1,,5
721,Paddle Wheel,3,,1,,1
722,Paddock,3,,1,,2
723,Padlock,3,,1,,3
724,Padre,3,,1,,1
725,Paean,3,,1,,2
726,Pagan,3,,1,,3
727,Paganism,3,,1,,4
728,Page,3,,1,,5
729,Pageant,3,,1,,1
730,Pageantry,3,,1,,2
731,Pagoda,3,,1,,3
732,Paid,3,,1,,4
733,Pail,3,,1,,5
734,Pailful,3,,1,,1
735,Pain,3,,1,,2
736,Painful,3,,1,,3
737,Painfully,3,,1,,4
738,Painless,3,,1,,5
739,Painstaking,3,,1,,1
740,Painstakingly,3,,1,,2
741,Paint,3,,1,,3
742,Paintbrush,3,,1,,4
743,Painter,3,,1,,5
744,Painting,3,,1,,1
745,Pair,3,,1,,2
746,Seep,3,,1,,3
747,Seepage,3,,1,,4
748,Seer,3,,1,,5
749,Seesaw,3,,1,,1
750,Seethe,3,,1,,2
751,Segment,3,,1,,3
752,Segregate,3,,1,,4
753,Segregation,3,,1,,5
754,Seigneur,3,,1,,1
755,Seine,3,,1,,2
756,Seismic,3,,1,,3
757,Seismical,3,,1,,4
758,Seize,3,,1,,5
759,Seizure,3,,1,,1
760,Seldom,3,,1,,2
761,Selection,3,,1,,1
762,Tremendously,3,,1,,2
763,Tremolo,3,,1,,3
764,Tremor,3,,1,,4
765,Tremulous,3,,1,,5
766,Tremulously,3,,1,,1
767,Trenail,3,,1,,2
768,Trench,3,,1,,3
769,Trenchant,3,,1,,4
770,Trencher,3,,1,,5
771,Trencherman,3,,1,,1
772,Trend,3,,1,,2
773,Trepan,3,,1,,3
774,Trephine,3,,1,,4
775,Trepidation,3,,1,,5
776,Trespass,3,,1,,1
777,Trespasser,3,,1,,2
778,Tress,3,,1,,3
779,Trestle,3,,1,,4
780,Triad,3,,1,,5
781,Trial,3,,1,,1
782,Triangle,3,,1,,2
783,Triangular,3,,1,,3
784,Triangulate,3,,1,,4
785,Tribal,3,,1,,5
786,Tribe,3,,1,,1
787,Tribesman,3,,1,,2
788,Tribulation,3,,1,,3
789,Tribunal,3,,1,,4
790,Tribunate,3,,1,,5
791,Tribune,3,,1,,1
792,Tributary,3,,1,,2
793,Tribute,3,,1,,3
794,Trice,3,,1,,4
795,Triceps,3,,1,,5
796,Trick,3,,1,,1
797,Trickery,3,,1,,2
798,Trickle,3,,1,,3
799,Trickster,3,,1,,4
800,Tricky,3,,1,,5
801,Tricolor,3,,1,,1
802,Tricolour,3,,1,,2
803,Tricuspid,3,,1,,3
804,Tricycle,3,,1,,4
805,Trident,3,,1,,5
806,Tried,3,,1,,1
807,Triennial,3,,1,,2
808,Trifle,3,,1,,3
809,Trifler,3,,1,,4
810,Trifling,3,,1,,5
811,Trig,3,,1,,1
812,Trigger,3,,1,,2
813,Trigonometric,3,,1,,3
814,Trigonometrical,3,,1,,4
815,Trigonometry,3,,1,,5
816,Trill,3,,1,,1
817,Trillion,3,,1,,2
818,Trilogy,3,,1,,1
819,Trim,3,,1,,2
820,Trimeter,3,,1,,3
821,Trimly,3,,1,,4
822,Trimmer,3,,1,,5
823,Trimness,3,,1,,1
824,Trine,3,,1,,2
825,Trinitarian,3,,1,,3
826,Trinity,3,,1,,4
827,Trinket,3,,1,,5
828,Trio,3,,1,,1
829,Trip,3,,1,,2
830,Tripartite,3,,1,,3
831,Tripe,3,,1,,4
832,Triple,3,,1,,5
833,Triplet,3,,1,,1
834,Triplex,3,,1,,2
835,Triplicate,3,,1,,3
836,Ulceration,3,,1,,4
837,Ulcerous,3,,1,,5
838,Ulna,3,,1,,1
839,Ulster,3,,1,,2
840,Ulterior,3,,1,,3
841,Ultimate,3,,1,,4
842,Ultimately,3,,1,,5
843,Ultimatum,3,,1,,1
844,Ultra,3,,1,,2
845,Ultra ambitious,3,,1,,3
846,Ultra credulous,3,,1,,4
847,Ultra fashionable,3,,1,,5
848,Ultra liberal,3,,1,,1
849,Ultra loyal,3,,1,,2
850,Ultra modest,3,,1,,3
851,Ultra montanism,3,,1,,4
852,Ultra religious,3,,1,,5
853,Ultra vires,3,,1,,1
854,Ultra-confident,3,,1,,2
855,Ultraconservative,3,,1,,3
856,Ultra-critical,3,,1,,4
857,Ultra-exclusive,3,,1,,5
858,Ultramarine,3,,1,,1
859,Ultramarine blue,3,,1,,2
860,Ultramontane,3,,1,,3
861,Ultraviolet,3,,2,,4
862,Ululate,3,,2,,5
863,Umbel,3,,2,,1
864,Umber,3,,2,,2
865,Umbrage,3,,2,,3
866,Umbrageous,3,,2,,4
867,Umbrella,3,,2,,5
868,Umiak,3,,2,,1
869,Umpire,3,,2,,2
870,Vocative,3,,2,,3
871,Vociferate,3,,2,,4
872,Vociferous,3,,2,,5
873,Vodka,3,,2,,1
874,Vogue,3,,2,,2
875,Voice,3,,2,,3
876,Voiced,3,,2,,4
877,Voiceless,3,,2,,5
878,Void,3,,2,,1
879,Voidable,3,,2,,2
880,Voile,3,,2,,3
881,Volant,3,,2,,4
882,Volatile,3,,2,,5
883,Volatility,3,,2,,1
884,Volatilize,3,,2,,2
885,Volcanic,3,,2,,3
886,Volcano,3,,2,,4
887,Vole,3,,2,,5
888,Volition,3,,2,,1
889,Volitional,3,,2,,2
890,Volley,3,,2,,1
891,Volplane,3,,2,,2
892,Volt,3,,2,,3
893,Volt aion electricity,3,,2,,4
